tg,tf
CXCL2,BATF3
GLIPR1,BATF3
CASP4,BATF3
CASP1,BATF3
EMILIN2,BATF3
PPARG,BATF3
CD274,BATF3
IFI16,BATF3
GBP2,BATF3
GBP1,BATF3
GBP3,BATF3
CD74,BATF3
GCH1,BATF3
MAFB,BATF3
CXCL2,BATF3
GLIPR1,BATF3
CASP4,BATF3
CASP1,BATF3
EMILIN2,BATF3
PPARG,BATF3
CD274,BATF3
IFI16,BATF3
GBP2,BATF3
GBP1,BATF3
GBP3,BATF3
CD74,BATF3
GCH1,BATF3
MAFB,BATF3
IFITM3,NR4A2
IFITM1,NR4A2
TNC,NR4A2
AHR,NR4A2
ALCAM,NR4A2
NAMPT,NR4A2
C3AR1,NR4A2
JUNB,NR4A2
IER3,NR4A2
SEMA6B,NR4A2
MYLIP,NR4A2
TRIB2,NR4A2
GPM6A,NR4A2
RTN1,NR4A2
ADRB2,NR4A2
FOXO1,NR4A2
PMAIP1,NR4A2
HIVEP2,NR4A2
TIPARP,NR4A2
BDNF,NR4A2
GADD45G,NR4A2
MAFB,NR4A2
BCL3,NR4A2
BHLHE40,NR4A2
CPE,NR4A2
CSRNP1,NR4A2
PTPRU,NR4A2
BTG2,NR4A2
BTG1,NR4A2
TNFAIP3,NR4A2
CXCL2,NR4A2
NFKBIZ,NR4A2
PDE4B,NR4A2
KIF1A,NR4A2
DUSP4,NR4A2
DUSP5,NR4A2
DUSP2,NR4A2
TSC22D3,NR4A2
PLAUR,NR4A2
ELOVL6,NR4A2
DUSP6,NR4A2
DNAJC6,NR4A2
IRF1,NR4A2
PELI1,NR4A2
HBEGF,NR4A2
HLA-DQB1,NR4A2
CEBPD,NR4A2
RELB,NR4A2
GBP2,NR4A2
CD74,NR4A2
GCH1,NR4A2
LGI3,NR4A2
DHRS3,NR4A2
VEGFA,NR4A2
PPP2R2C,NR4A2
NFIA,NR4A2
CXCL8,NR4A2
IRS2,NR4A2
EDN1,NR4A2
DDR2,NR4A2
CEBPB,NR4A2
JAG1,NR4A2
KLF2,NR4A2
RGS2,NR4A2
ZFP36,NR4A2
PIM3,NR4A2
IER5,NR4A2
FRMD5,NR4A2
HECA,NR4A2
ATF3,NR4A2
TPPP,NR4A2
SLC38A2,NR4A2
MCL1,NR4A2
GADD45B,NR4A2
NFATC1,NR4A2
FOSL2,NR4A2
EIF1,NR4A2
NFKBIA,NR4A2
BCL6,NR4A2
SCML2,NR4A2
HMGCS1,NR4A2
DUSP1,NR4A2
NCOA3,NR4A2
PDE4D,NR4A2
LDLR,NR4A2
GDF15,NR4A2
IGIP,NR4A2
STK17B,NR4A2
KLF9,NR4A2
OTUD1,NR4A2
GEM,NR4A2
EREG,NR4A2
SMAD7,NR4A2
KLF5,NR4A2
TRIP12,NR4A2
IFITM3,NR4A2
IFITM1,NR4A2
TNC,NR4A2
AHR,NR4A2
ALCAM,NR4A2
NAMPT,NR4A2
C3AR1,NR4A2
JUNB,NR4A2
IER3,NR4A2
SEMA6B,NR4A2
MYLIP,NR4A2
TRIB2,NR4A2
GPM6A,NR4A2
RTN1,NR4A2
ADRB2,NR4A2
FOXO1,NR4A2
PMAIP1,NR4A2
HIVEP2,NR4A2
TIPARP,NR4A2
BDNF,NR4A2
GADD45G,NR4A2
MAFB,NR4A2
BCL3,NR4A2
BHLHE40,NR4A2
CPE,NR4A2
CSRNP1,NR4A2
PTPRU,NR4A2
BTG2,NR4A2
BTG1,NR4A2
TNFAIP3,NR4A2
CXCL2,NR4A2
NFKBIZ,NR4A2
PDE4B,NR4A2
KIF1A,NR4A2
DUSP4,NR4A2
DUSP5,NR4A2
DUSP2,NR4A2
TSC22D3,NR4A2
PLAUR,NR4A2
ELOVL6,NR4A2
DUSP6,NR4A2
DNAJC6,NR4A2
IRF1,NR4A2
PELI1,NR4A2
HBEGF,NR4A2
HLA-DQB1,NR4A2
CEBPD,NR4A2
RELB,NR4A2
GBP2,NR4A2
CD74,NR4A2
GCH1,NR4A2
LGI3,NR4A2
DHRS3,NR4A2
VEGFA,NR4A2
PPP2R2C,NR4A2
NFIA,NR4A2
CXCL8,NR4A2
IRS2,NR4A2
EDN1,NR4A2
DDR2,NR4A2
CEBPB,NR4A2
JAG1,NR4A2
KLF2,NR4A2
RGS2,NR4A2
ZFP36,NR4A2
PIM3,NR4A2
IER5,NR4A2
FRMD5,NR4A2
HECA,NR4A2
ATF3,NR4A2
TPPP,NR4A2
SLC38A2,NR4A2
MCL1,NR4A2
GADD45B,NR4A2
NFATC1,NR4A2
FOSL2,NR4A2
EIF1,NR4A2
NFKBIA,NR4A2
BCL6,NR4A2
SCML2,NR4A2
HMGCS1,NR4A2
DUSP1,NR4A2
NCOA3,NR4A2
PDE4D,NR4A2
LDLR,NR4A2
GDF15,NR4A2
IGIP,NR4A2
STK17B,NR4A2
KLF9,NR4A2
OTUD1,NR4A2
GEM,NR4A2
EREG,NR4A2
SMAD7,NR4A2
KLF5,NR4A2
TRIP12,NR4A2
IFITM3,IRF1
CCDC71L,IRF1
EHF,IRF1
IFITM1,IRF1
CSF1,IRF1
NCF2,IRF1
FAM89A,IRF1
TNC,IRF1
DDX60L,IRF1
DEPTOR,IRF1
NAMPT,IRF1
SCN9A,IRF1
TNFSF10,IRF1
C3AR1,IRF1
BBX,IRF1
JUNB,IRF1
HIST1H2AC,IRF1
HLA-J,IRF1
MYLIP,IRF1
F2R,IRF1
HLA-B,IRF1
HLA-C,IRF1
S100A6,IRF1
CARD16,IRF1
CD274,IRF1
HS3ST3A1,IRF1
IGSF3,IRF1
TMTC1,IRF1
DDX60,IRF1
FOXO1,IRF1
SOCS3,IRF1
ATXN1,IRF1
PMAIP1,IRF1
LONRF3,IRF1
TIPARP,IRF1
BDNF,IRF1
ANKEF1,IRF1
PARP14,IRF1
ACER2,IRF1
MAFB,IRF1
AMACR,IRF1
BAMBI,IRF1
BCL3,IRF1
BHLHE40,IRF1
CSRNP1,IRF1
BTG2,IRF1
BTG1,IRF1
SLC2A3,IRF1
RCSD1,IRF1
CXCL2,IRF1
IRF2BPL,IRF1
IFIH1,IRF1
CASP4,IRF1
NFKBIZ,IRF1
ITGAX,IRF1
CASP1,IRF1
PDE4B,IRF1
PDE4A,IRF1
DUSP4,IRF1
TSC22D3,IRF1
TESC,IRF1
PLAUR,IRF1
DUSP6,IRF1
RAP2C,IRF1
CDCP1,IRF1
MMP17,IRF1
PELI1,IRF1
VWA1,IRF1
NLRC5,IRF1
PPM1K,IRF1
RELB,IRF1
HIRA,IRF1
IFI16,IRF1
GBP2,IRF1
APOL1,IRF1
E2F5,IRF1
GBP1,IRF1
ZNF462,IRF1
GCH1,IRF1
SMOX,IRF1
SEMA4B,IRF1
MID1IP1,IRF1
TPD52L1,IRF1
DHRS3,IRF1
PSMB9,IRF1
VEGFA,IRF1
TMEM158,IRF1
TSPAN13,IRF1
NFIA,IRF1
RPL13AP5,IRF1
TMEM229B,IRF1
TMEM167A,IRF1
UCA1,IRF1
SLC1A2,IRF1
N4BP3,IRF1
SKIL,IRF1
JAG1,IRF1
GIPC3,IRF1
CYP1A1,IRF1
SNAP25,IRF1
CXCL8,IRF1
COX7C,IRF1
AASS,IRF1
EDN1,IRF1
SHROOM3,IRF1
SERPINB9,IRF1
SERPINB6,IRF1
SLCO4A1,IRF1
TLR5,IRF1
DDR2,IRF1
CEBPB,IRF1
NQO2,IRF1
KLF2,IRF1
HIST3H2A,IRF1
BACH1,IRF1
ELK4,IRF1
IER5,IRF1
ATF3,IRF1
VPS28,IRF1
NR1D1,IRF1
EIF1,IRF1
FOSL2,IRF1
AVL9,IRF1
CPEB3,IRF1
CDKN1B,IRF1
BBC3,IRF1
TRIM7,IRF1
JARID2,IRF1
DUSP1,IRF1
COQ10B,IRF1
SLC7A7,IRF1
MTF2,IRF1
GRAMD1A,IRF1
FGD6,IRF1
LDLR,IRF1
DEF6,IRF1
RAB43,IRF1
ZFP36,IRF1
PTAR1,IRF1
SESN2,IRF1
PIM3,IRF1
RAB2B,IRF1
TICAM1,IRF1
ABHD4,IRF1
RHOBTB3,IRF1
SLC38A2,IRF1
SOCS4,IRF1
MCL1,IRF1
ZBTB10,IRF1
NFKB2,IRF1
BCL6,IRF1
ONECUT3,IRF1
GLRX,IRF1
PARD6B,IRF1
TIFA,IRF1
DCAF11,IRF1
OXR1,IRF1
PDK1,IRF1
CCDC80,IRF1
GRB7,IRF1
TSHZ1,IRF1
GADD45B,IRF1
FAM78A,IRF1
CITED4,IRF1
SCML2,IRF1
NCOA3,IRF1
TLR1,IRF1
RAP2B,IRF1
DCP2,IRF1
ARVCF,IRF1
GDF15,IRF1
PDP2,IRF1
STK17B,IRF1
CCNG1,IRF1
OTUD4,IRF1
MIDN,IRF1
GIMAP2,IRF1
HELB,IRF1
RGS2,IRF1
H1FX-AS1,IRF1
PHOSPHO1,IRF1
ODF3B,IRF1
IDI1,IRF1
FUT1,IRF1
IRAK2,IRF1
KLHL28,IRF1
SSH2,IRF1
NR4A2,IRF1
NFKBIA,IRF1
KDM5B,IRF1
DDX59,IRF1
NRIP3,IRF1
MAPK6,IRF1
ZNF184,IRF1
WEE1,IRF1
IL15RA,IRF1
HES6,IRF1
ACSL4,IRF1
EREG,IRF1
DEPDC1B,IRF1
MTHFD2,IRF1
TRIB3,IRF1
PCDH18,IRF1
ZNF267,IRF1
XRCC4,IRF1
SIAH2,IRF1
BTG3,IRF1
SH3RF1,IRF1
LYPLA1,IRF1
MRPS26,IRF1
TLR6,IRF1
RNF138,IRF1
RASL11B,IRF1
UBE2D1,IRF1
FGF2,IRF1
PIM2,IRF1
PPTC7,IRF1
SDCBP,IRF1
SBNO2,IRF1
ZNF668,IRF1
H1FX,IRF1
GOT1,IRF1
CDK1,IRF1
NFKBIE,IRF1
RNF11,IRF1
TNPO1,IRF1
HIST1H1C,IRF1
TTC33,IRF1
NDUFB8,IRF1
IER5L,IRF1
ZNF628,IRF1
DNAJB4,IRF1
MACC1,IRF1
IFITM3,IRF1
CCDC71L,IRF1
EHF,IRF1
IFITM1,IRF1
CSF1,IRF1
NCF2,IRF1
FAM89A,IRF1
TNC,IRF1
DDX60L,IRF1
DEPTOR,IRF1
NAMPT,IRF1
SCN9A,IRF1
TNFSF10,IRF1
C3AR1,IRF1
BBX,IRF1
JUNB,IRF1
HIST1H2AC,IRF1
HLA-J,IRF1
MYLIP,IRF1
F2R,IRF1
HLA-B,IRF1
HLA-C,IRF1
S100A6,IRF1
CARD16,IRF1
CD274,IRF1
HS3ST3A1,IRF1
IGSF3,IRF1
TMTC1,IRF1
DDX60,IRF1
FOXO1,IRF1
SOCS3,IRF1
ATXN1,IRF1
PMAIP1,IRF1
LONRF3,IRF1
TIPARP,IRF1
BDNF,IRF1
ANKEF1,IRF1
PARP14,IRF1
ACER2,IRF1
MAFB,IRF1
AMACR,IRF1
BAMBI,IRF1
BCL3,IRF1
BHLHE40,IRF1
CSRNP1,IRF1
BTG2,IRF1
BTG1,IRF1
SLC2A3,IRF1
RCSD1,IRF1
CXCL2,IRF1
IRF2BPL,IRF1
IFIH1,IRF1
CASP4,IRF1
NFKBIZ,IRF1
ITGAX,IRF1
CASP1,IRF1
PDE4B,IRF1
PDE4A,IRF1
DUSP4,IRF1
TSC22D3,IRF1
TESC,IRF1
PLAUR,IRF1
DUSP6,IRF1
RAP2C,IRF1
CDCP1,IRF1
MMP17,IRF1
PELI1,IRF1
VWA1,IRF1
NLRC5,IRF1
PPM1K,IRF1
RELB,IRF1
HIRA,IRF1
IFI16,IRF1
GBP2,IRF1
APOL1,IRF1
E2F5,IRF1
GBP1,IRF1
ZNF462,IRF1
GCH1,IRF1
SMOX,IRF1
SEMA4B,IRF1
MID1IP1,IRF1
TPD52L1,IRF1
DHRS3,IRF1
PSMB9,IRF1
VEGFA,IRF1
TMEM158,IRF1
TSPAN13,IRF1
NFIA,IRF1
RPL13AP5,IRF1
TMEM229B,IRF1
TMEM167A,IRF1
UCA1,IRF1
SLC1A2,IRF1
N4BP3,IRF1
SKIL,IRF1
JAG1,IRF1
GIPC3,IRF1
CYP1A1,IRF1
SNAP25,IRF1
CXCL8,IRF1
COX7C,IRF1
AASS,IRF1
EDN1,IRF1
SHROOM3,IRF1
SERPINB9,IRF1
SERPINB6,IRF1
SLCO4A1,IRF1
TLR5,IRF1
DDR2,IRF1
CEBPB,IRF1
NQO2,IRF1
KLF2,IRF1
HIST3H2A,IRF1
BACH1,IRF1
ELK4,IRF1
IER5,IRF1
ATF3,IRF1
VPS28,IRF1
NR1D1,IRF1
EIF1,IRF1
FOSL2,IRF1
AVL9,IRF1
CPEB3,IRF1
CDKN1B,IRF1
BBC3,IRF1
TRIM7,IRF1
JARID2,IRF1
DUSP1,IRF1
COQ10B,IRF1
SLC7A7,IRF1
MTF2,IRF1
GRAMD1A,IRF1
FGD6,IRF1
LDLR,IRF1
DEF6,IRF1
RAB43,IRF1
ZFP36,IRF1
PTAR1,IRF1
SESN2,IRF1
PIM3,IRF1
RAB2B,IRF1
TICAM1,IRF1
ABHD4,IRF1
RHOBTB3,IRF1
SLC38A2,IRF1
SOCS4,IRF1
MCL1,IRF1
ZBTB10,IRF1
NFKB2,IRF1
BCL6,IRF1
ONECUT3,IRF1
GLRX,IRF1
PARD6B,IRF1
TIFA,IRF1
DCAF11,IRF1
OXR1,IRF1
PDK1,IRF1
CCDC80,IRF1
GRB7,IRF1
TSHZ1,IRF1
GADD45B,IRF1
FAM78A,IRF1
CITED4,IRF1
SCML2,IRF1
NCOA3,IRF1
TLR1,IRF1
RAP2B,IRF1
DCP2,IRF1
ARVCF,IRF1
GDF15,IRF1
PDP2,IRF1
STK17B,IRF1
CCNG1,IRF1
OTUD4,IRF1
MIDN,IRF1
GIMAP2,IRF1
HELB,IRF1
RGS2,IRF1
H1FX-AS1,IRF1
PHOSPHO1,IRF1
ODF3B,IRF1
IDI1,IRF1
FUT1,IRF1
IRAK2,IRF1
KLHL28,IRF1
SSH2,IRF1
NR4A2,IRF1
NFKBIA,IRF1
KDM5B,IRF1
DDX59,IRF1
NRIP3,IRF1
MAPK6,IRF1
ZNF184,IRF1
WEE1,IRF1
IL15RA,IRF1
HES6,IRF1
ACSL4,IRF1
EREG,IRF1
DEPDC1B,IRF1
MTHFD2,IRF1
TRIB3,IRF1
PCDH18,IRF1
ZNF267,IRF1
XRCC4,IRF1
SIAH2,IRF1
BTG3,IRF1
SH3RF1,IRF1
LYPLA1,IRF1
MRPS26,IRF1
TLR6,IRF1
RNF138,IRF1
RASL11B,IRF1
UBE2D1,IRF1
FGF2,IRF1
PIM2,IRF1
PPTC7,IRF1
SDCBP,IRF1
SBNO2,IRF1
ZNF668,IRF1
H1FX,IRF1
GOT1,IRF1
CDK1,IRF1
NFKBIE,IRF1
RNF11,IRF1
TNPO1,IRF1
HIST1H1C,IRF1
TTC33,IRF1
NDUFB8,IRF1
IER5L,IRF1
ZNF628,IRF1
DNAJB4,IRF1
MACC1,IRF1
CCDC71L,NFIL3
IFITM3,NFIL3
CSRNP1,NFIL3
BTG2,NFIL3
BTG1,NFIL3
NCF2,NFIL3
TNC,NFIL3
CBLB,NFIL3
SLC2A3,NFIL3
AHR,NFIL3
CXCL2,NFIL3
NAMPT,NFIL3
CASP4,NFIL3
NFKBIZ,NFIL3
PDE4B,NFIL3
ITGAX,NFIL3
IER3,NFIL3
DUSP4,NFIL3
TSC22D3,NFIL3
PLAUR,NFIL3
HLA-B,NFIL3
DUSP6,NFIL3
PTP4A1,NFIL3
IRF1,NFIL3
S100A6,NFIL3
PELI1,NFIL3
FOXO1,NFIL3
RELB,NFIL3
SOCS3,NFIL3
PMAIP1,NFIL3
GBP2,NFIL3
GCH1,NFIL3
TIPARP,NFIL3
LYZ,NFIL3
DHRS3,NFIL3
GADD45G,NFIL3
VEGFA,NFIL3
MAFB,NFIL3
BHLHE40,NFIL3
LRP10,NFIL3
CXCL8,NFIL3
IRS2,NFIL3
NAMPTP1,NFIL3
DDR2,NFIL3
CEBPB,NFIL3
KLF2,NFIL3
RCAN1,NFIL3
BACH1,NFIL3
ZFP36,NFIL3
HELB,NFIL3
RGS2,NFIL3
SESN2,NFIL3
PIM3,NFIL3
IER5,NFIL3
UBALD2,NFIL3
HECA,NFIL3
ATF3,NFIL3
SLC38A2,NFIL3
MCL1,NFIL3
GADD45B,NFIL3
SSH2,NFIL3
FOSL2,NFIL3
NR4A2,NFIL3
NFKBIA,NFIL3
BCL6,NFIL3
METRNL,NFIL3
HIST1H1C,NFIL3
IPMK,NFIL3
GEM,NFIL3
SAP30,NFIL3
MTHFD2,NFIL3
TRIB3,NFIL3
RABL6,NFIL3
SDCBP,NFIL3
SBNO2,NFIL3
PHC2,NFIL3
SMAD7,NFIL3
CCDC71L,NFIL3
IFITM3,NFIL3
CSRNP1,NFIL3
BTG2,NFIL3
BTG1,NFIL3
NCF2,NFIL3
TNC,NFIL3
CBLB,NFIL3
SLC2A3,NFIL3
AHR,NFIL3
CXCL2,NFIL3
NAMPT,NFIL3
CASP4,NFIL3
NFKBIZ,NFIL3
PDE4B,NFIL3
ITGAX,NFIL3
IER3,NFIL3
DUSP4,NFIL3
TSC22D3,NFIL3
PLAUR,NFIL3
HLA-B,NFIL3
DUSP6,NFIL3
PTP4A1,NFIL3
IRF1,NFIL3
S100A6,NFIL3
PELI1,NFIL3
FOXO1,NFIL3
RELB,NFIL3
SOCS3,NFIL3
PMAIP1,NFIL3
GBP2,NFIL3
GCH1,NFIL3
TIPARP,NFIL3
LYZ,NFIL3
DHRS3,NFIL3
GADD45G,NFIL3
VEGFA,NFIL3
MAFB,NFIL3
BHLHE40,NFIL3
LRP10,NFIL3
CXCL8,NFIL3
IRS2,NFIL3
NAMPTP1,NFIL3
DDR2,NFIL3
CEBPB,NFIL3
KLF2,NFIL3
RCAN1,NFIL3
BACH1,NFIL3
ZFP36,NFIL3
HELB,NFIL3
RGS2,NFIL3
SESN2,NFIL3
PIM3,NFIL3
IER5,NFIL3
UBALD2,NFIL3
HECA,NFIL3
ATF3,NFIL3
SLC38A2,NFIL3
MCL1,NFIL3
GADD45B,NFIL3
SSH2,NFIL3
FOSL2,NFIL3
NR4A2,NFIL3
NFKBIA,NFIL3
BCL6,NFIL3
METRNL,NFIL3
HIST1H1C,NFIL3
IPMK,NFIL3
GEM,NFIL3
SAP30,NFIL3
MTHFD2,NFIL3
TRIB3,NFIL3
RABL6,NFIL3
SDCBP,NFIL3
SBNO2,NFIL3
PHC2,NFIL3
SMAD7,NFIL3
IFITM3,NFKB2
IFITM1,NFKB2
CSF1,NFKB2
NCF2,NFKB2
TNC,NFKB2
AHR,NFKB2
NAMPT,NFKB2
TNFSF10,NFKB2
JUNB,NFKB2
IER3,NFKB2
HLA-B,NFKB2
S100A6,NFKB2
ALPK2,NFKB2
LINC01010,NFKB2
CD274,NFKB2
SOCS3,NFKB2
ZNF827,NFKB2
TSPAN5,NFKB2
PMAIP1,NFKB2
HIVEP2,NFKB2
TNFRSF9,NFKB2
PARP14,NFKB2
INHBE,NFKB2
BCL3,NFKB2
BHLHE40,NFKB2
TNFSF9,NFKB2
LRP10,NFKB2
CSRNP1,NFKB2
BTG2,NFKB2
BTG1,NFKB2
TNFAIP3,NFKB2
SLC2A3,NFKB2
BMI1,NFKB2
CXCL2,NFKB2
IRF2BPL,NFKB2
IFIH1,NFKB2
NFKBIZ,NFKB2
CASP4,NFKB2
PDE4B,NFKB2
PDE4A,NFKB2
EMILIN2,NFKB2
UPP1,NFKB2
DUSP4,NFKB2
DUSP5,NFKB2
DUSP2,NFKB2
ZHX2,NFKB2
SPHK1,NFKB2
PLAUR,NFKB2
PLA2G4A,NFKB2
DUSP6,NFKB2
DNAJC6,NFKB2
IRF1,NFKB2
HLA-DQB1,NFKB2
BIRC3,NFKB2
HBEGF,NFKB2
PTGER4,NFKB2
CEBPD,NFKB2
NLRC5,NFKB2
PPM1K,NFKB2
ABHD17C,NFKB2
ARNTL2,NFKB2
RELB,NFKB2
IFI16,NFKB2
GBP2,NFKB2
CD74,NFKB2
GCH1,NFKB2
PSMB9,NFKB2
VEGFA,NFKB2
TMEM156,NFKB2
NEURL3,NFKB2
IL18R1,NFKB2
CXCL8,NFKB2
IRS2,NFKB2
JADE2,NFKB2
EDN1,NFKB2
SERPINB9,NFKB2
DDR2,NFKB2
CEBPB,NFKB2
ST3GAL1,NFKB2
SKIL,NFKB2
KLF2,NFKB2
PRDM8,NFKB2
RAB43,NFKB2
HELB,NFKB2
ZFP36,NFKB2
RGS2,NFKB2
SESN2,NFKB2
PIM3,NFKB2
IER5,NFKB2
VASH2,NFKB2
UBALD2,NFKB2
TICAM1,NFKB2
ODF3B,NFKB2
ATF3,NFKB2
TSHZ1,NFKB2
IRAK2,NFKB2
MCL1,NFKB2
GADD45B,NFKB2
NR1D1,NFKB2
FOSL2,NFKB2
NFKBIA,NFKB2
BCL6,NFKB2
CDKN1B,NFKB2
RNF157,NFKB2
EMX1,NFKB2
TIFA,NFKB2
DCAF11,NFKB2
LDLR,NFKB2
CCL22,NFKB2
GDF15,NFKB2
METRNL,NFKB2
CAPN15,NFKB2
PIM2,NFKB2
IL15RA,NFKB2
PPTC7,NFKB2
GEM,NFKB2
TBL1XR1,NFKB2
MTHFD2,NFKB2
MAPKAPK2,NFKB2
SBNO2,NFKB2
ZNF267,NFKB2
SMAD7,NFKB2
NFKBIE,NFKB2
RGL1,NFKB2
ANKRD33B,NFKB2
SHB,NFKB2
TIGD3,NFKB2
BATF3,NFKB2
BCAT1,NFKB2
BIRC2,NFKB2
IFITM3,NFKB2
IFITM1,NFKB2
CSF1,NFKB2
NCF2,NFKB2
TNC,NFKB2
AHR,NFKB2
NAMPT,NFKB2
TNFSF10,NFKB2
JUNB,NFKB2
IER3,NFKB2
HLA-B,NFKB2
S100A6,NFKB2
ALPK2,NFKB2
LINC01010,NFKB2
CD274,NFKB2
SOCS3,NFKB2
ZNF827,NFKB2
TSPAN5,NFKB2
PMAIP1,NFKB2
HIVEP2,NFKB2
TNFRSF9,NFKB2
PARP14,NFKB2
INHBE,NFKB2
BCL3,NFKB2
BHLHE40,NFKB2
TNFSF9,NFKB2
LRP10,NFKB2
CSRNP1,NFKB2
BTG2,NFKB2
BTG1,NFKB2
TNFAIP3,NFKB2
SLC2A3,NFKB2
BMI1,NFKB2
CXCL2,NFKB2
IRF2BPL,NFKB2
IFIH1,NFKB2
NFKBIZ,NFKB2
CASP4,NFKB2
PDE4B,NFKB2
PDE4A,NFKB2
EMILIN2,NFKB2
UPP1,NFKB2
DUSP4,NFKB2
DUSP5,NFKB2
DUSP2,NFKB2
ZHX2,NFKB2
SPHK1,NFKB2
PLAUR,NFKB2
PLA2G4A,NFKB2
DUSP6,NFKB2
DNAJC6,NFKB2
IRF1,NFKB2
HLA-DQB1,NFKB2
BIRC3,NFKB2
HBEGF,NFKB2
PTGER4,NFKB2
CEBPD,NFKB2
NLRC5,NFKB2
PPM1K,NFKB2
ABHD17C,NFKB2
ARNTL2,NFKB2
RELB,NFKB2
IFI16,NFKB2
GBP2,NFKB2
CD74,NFKB2
GCH1,NFKB2
PSMB9,NFKB2
VEGFA,NFKB2
TMEM156,NFKB2
NEURL3,NFKB2
IL18R1,NFKB2
CXCL8,NFKB2
IRS2,NFKB2
JADE2,NFKB2
EDN1,NFKB2
SERPINB9,NFKB2
DDR2,NFKB2
CEBPB,NFKB2
ST3GAL1,NFKB2
SKIL,NFKB2
KLF2,NFKB2
PRDM8,NFKB2
RAB43,NFKB2
HELB,NFKB2
ZFP36,NFKB2
RGS2,NFKB2
SESN2,NFKB2
PIM3,NFKB2
IER5,NFKB2
VASH2,NFKB2
UBALD2,NFKB2
TICAM1,NFKB2
ODF3B,NFKB2
ATF3,NFKB2
TSHZ1,NFKB2
IRAK2,NFKB2
MCL1,NFKB2
GADD45B,NFKB2
NR1D1,NFKB2
FOSL2,NFKB2
NFKBIA,NFKB2
BCL6,NFKB2
CDKN1B,NFKB2
RNF157,NFKB2
EMX1,NFKB2
TIFA,NFKB2
DCAF11,NFKB2
LDLR,NFKB2
CCL22,NFKB2
GDF15,NFKB2
METRNL,NFKB2
CAPN15,NFKB2
PIM2,NFKB2
IL15RA,NFKB2
PPTC7,NFKB2
GEM,NFKB2
TBL1XR1,NFKB2
MTHFD2,NFKB2
MAPKAPK2,NFKB2
SBNO2,NFKB2
ZNF267,NFKB2
SMAD7,NFKB2
NFKBIE,NFKB2
RGL1,NFKB2
ANKRD33B,NFKB2
SHB,NFKB2
TIGD3,NFKB2
BATF3,NFKB2
BCAT1,NFKB2
BIRC2,NFKB2
EHF,ELF3
IFITM1,ELF3
NCF2,ELF3
RASEF,ELF3
TNC,ELF3
ALCAM,ELF3
TNFSF10,ELF3
JUNB,ELF3
F2R,ELF3
OVOL2,ELF3
S100A6,ELF3
TRIB2,ELF3
CDS1,ELF3
SEL1L3,ELF3
SOCS3,ELF3
ATXN1,ELF3
PMAIP1,ELF3
TNFSF18,ELF3
MAFB,ELF3
BCL3,ELF3
BHLHE40,ELF3
LRP10,ELF3
BTG2,ELF3
BTG1,ELF3
CXCL2,ELF3
IRF2BPL,ELF3
FAM102A,ELF3
NFKBIZ,ELF3
QSOX1,ELF3
DUSP4,ELF3
ZHX2,ELF3
TSC22D3,ELF3
PLAUR,ELF3
SHROOM3,ELF3
DUSP6,ELF3
CDCP1,ELF3
IRF1,ELF3
PPARG,ELF3
RBM47,ELF3
CEBPD,ELF3
ABHD17C,ELF3
GBP2,ELF3
SMOX,ELF3
SEMA4B,ELF3
PCDH7,ELF3
SAMD4A,ELF3
VEGFA,ELF3
TMEM156,ELF3
JADE2,ELF3
MTHFD2L,ELF3
JAG1,ELF3
CXCL8,ELF3
EDN1,ELF3
RIPK4,ELF3
SERPINB6,ELF3
DDR2,ELF3
NQO2,ELF3
BACH1,ELF3
RGS2,ELF3
IER5,ELF3
ATF3,ELF3
FOSL2,ELF3
NFKBIA,ELF3
BCL6,ELF3
CITED4,ELF3
SLC7A7,ELF3
KLF9,ELF3
TM4SF1,ELF3
EREG,ELF3
DEPDC1B,ELF3
TRIB3,ELF3
FUT4,ELF3
SBNO2,ELF3
DSTN,ELF3
SMAD7,ELF3
CPEB4,ELF3
SHB,ELF3
SH3RF1,ELF3
BCAT1,ELF3
MACC1,ELF3
KLF5,ELF3
EHF,ELF3
IFITM1,ELF3
NCF2,ELF3
RASEF,ELF3
TNC,ELF3
ALCAM,ELF3
TNFSF10,ELF3
JUNB,ELF3
F2R,ELF3
OVOL2,ELF3
S100A6,ELF3
TRIB2,ELF3
CDS1,ELF3
SEL1L3,ELF3
SOCS3,ELF3
ATXN1,ELF3
PMAIP1,ELF3
TNFSF18,ELF3
MAFB,ELF3
BCL3,ELF3
BHLHE40,ELF3
LRP10,ELF3
