tg,tf
BTG2,ELF3
BTG1,ELF3
CXCL2,ELF3
IRF2BPL,ELF3
FAM102A,ELF3
NFKBIZ,ELF3
QSOX1,ELF3
DUSP4,ELF3
ZHX2,ELF3
TSC22D3,ELF3
PLAUR,ELF3
SHROOM3,ELF3
DUSP6,ELF3
CDCP1,ELF3
IRF1,ELF3
PPARG,ELF3
RBM47,ELF3
CEBPD,ELF3
ABHD17C,ELF3
GBP2,ELF3
SMOX,ELF3
SEMA4B,ELF3
PCDH7,ELF3
SAMD4A,ELF3
VEGFA,ELF3
TMEM156,ELF3
JADE2,ELF3
MTHFD2L,ELF3
JAG1,ELF3
CXCL8,ELF3
EDN1,ELF3
RIPK4,ELF3
SERPINB6,ELF3
DDR2,ELF3
NQO2,ELF3
BACH1,ELF3
RGS2,ELF3
IER5,ELF3
ATF3,ELF3
FOSL2,ELF3
NFKBIA,ELF3
BCL6,ELF3
CITED4,ELF3
SLC7A7,ELF3
KLF9,ELF3
TM4SF1,ELF3
EREG,ELF3
DEPDC1B,ELF3
TRIB3,ELF3
FUT4,ELF3
SBNO2,ELF3
DSTN,ELF3
SMAD7,ELF3
CPEB4,ELF3
SHB,ELF3
SH3RF1,ELF3
BCAT1,ELF3
MACC1,ELF3
KLF5,ELF3
CSF1,ATF3
PLOD2,ATF3
JUNB,ATF3
CARD16,ATF3
TRIB2,ATF3
CD274,ATF3
LONRF3,ATF3
SLC19A2,ATF3
TIPARP,ATF3
TNFRSF9,ATF3
INHBE,ATF3
GADD45G,ATF3
BHLHE40,ATF3
BTG2,ATF3
SLC2A3,ATF3
IRF2BPL,ATF3
FAM102A,ATF3
DUSP2,ATF3
SPHK1,ATF3
ELF3,ATF3
HKDC1,ATF3
NCOA7,ATF3
BIRC3,ATF3
PTGER4,ATF3
CAMK2D,ATF3
RBM47,ATF3
CEBPD,ATF3
GBP2,ATF3
GBP1,ATF3
TM4SF19,ATF3
PCDH7,ATF3
KLHL4,ATF3
DHRS3,ATF3
VEGFA,ATF3
F2RL2,ATF3
CREB3L3,ATF3
ST3GAL1,ATF3
CXCL8,ATF3
KIF1A,ATF3
DDR2,ATF3
KLF2,ATF3
BACH1,ATF3
HOXA1,ATF3
YOD1,ATF3
CCDC80,ATF3
ZC3H11A,ATF3
GRB7,ATF3
SEC14L1,ATF3
NR1D1,ATF3
EIF1,ATF3
CDKN1B,ATF3
STON2,ATF3
BBC3,ATF3
EPB41L4B,ATF3
TRIM7,ATF3
DUSP1,ATF3
ZNF460,ATF3
GDF15,ATF3
SNX16,ATF3
ZNF219,ATF3
MIDN,ATF3
ZFP36,ATF3
PIM3,ATF3
TICAM1,ATF3
ZNF678,ATF3
FUT1,ATF3
MCL1,ATF3
KLHL28,ATF3
NR4A2,ATF3
BCL6,ATF3
DCAF11,ATF3
FAM110A,ATF3
MTHFD2,ATF3
TRIB3,ATF3
EIF5A2,ATF3
WDR62,ATF3
OSGIN2,ATF3
RGL1,ATF3
TLR6,ATF3
STK17B,ATF3
PPTC7,ATF3
FBXO45,ATF3
SBNO2,ATF3
H1FX,ATF3
GOT1,ATF3
NFKBIE,ATF3
NRARP,ATF3
HIST1H1C,ATF3
CCNA2,ATF3
BIRC2,ATF3
ZNF628,ATF3
DNAJB4,ATF3
CSF1,ATF3
PLOD2,ATF3
JUNB,ATF3
CARD16,ATF3
TRIB2,ATF3
CD274,ATF3
LONRF3,ATF3
SLC19A2,ATF3
TIPARP,ATF3
TNFRSF9,ATF3
INHBE,ATF3
GADD45G,ATF3
BHLHE40,ATF3
BTG2,ATF3
SLC2A3,ATF3
IRF2BPL,ATF3
FAM102A,ATF3
DUSP2,ATF3
SPHK1,ATF3
ELF3,ATF3
HKDC1,ATF3
NCOA7,ATF3
BIRC3,ATF3
PTGER4,ATF3
CAMK2D,ATF3
RBM47,ATF3
CEBPD,ATF3
GBP2,ATF3
GBP1,ATF3
TM4SF19,ATF3
PCDH7,ATF3
KLHL4,ATF3
DHRS3,ATF3
VEGFA,ATF3
F2RL2,ATF3
CREB3L3,ATF3
ST3GAL1,ATF3
CXCL8,ATF3
KIF1A,ATF3
DDR2,ATF3
KLF2,ATF3
BACH1,ATF3
HOXA1,ATF3
YOD1,ATF3
CCDC80,ATF3
ZC3H11A,ATF3
GRB7,ATF3
SEC14L1,ATF3
NR1D1,ATF3
EIF1,ATF3
CDKN1B,ATF3
STON2,ATF3
BBC3,ATF3
EPB41L4B,ATF3
TRIM7,ATF3
DUSP1,ATF3
ZNF460,ATF3
GDF15,ATF3
SNX16,ATF3
ZNF219,ATF3
MIDN,ATF3
ZFP36,ATF3
PIM3,ATF3
TICAM1,ATF3
ZNF678,ATF3
FUT1,ATF3
MCL1,ATF3
KLHL28,ATF3
NR4A2,ATF3
BCL6,ATF3
DCAF11,ATF3
FAM110A,ATF3
MTHFD2,ATF3
TRIB3,ATF3
EIF5A2,ATF3
WDR62,ATF3
OSGIN2,ATF3
RGL1,ATF3
TLR6,ATF3
STK17B,ATF3
PPTC7,ATF3
FBXO45,ATF3
SBNO2,ATF3
H1FX,ATF3
GOT1,ATF3
NFKBIE,ATF3
NRARP,ATF3
HIST1H1C,ATF3
CCNA2,ATF3
BIRC2,ATF3
ZNF628,ATF3
DNAJB4,ATF3
SERPINE2,PRDM1
ETS2,PRDM1
LIPC,PRDM1
NIPAL1,PRDM1
SLC39A8,PRDM1
S100A2,PRDM1
IL1R1,PRDM1
TAP1,PRDM1
ADAM19,PRDM1
IL6ST,PRDM1
PHLDB2,PRDM1
SLC22A4,PRDM1
SDC4,PRDM1
SOCS1,PRDM1
RDH10,PRDM1
MAP7,PRDM1
NGFR,PRDM1
SLC37A1,PRDM1
FGFR1,PRDM1
CDKN1A,PRDM1
CTSC,PRDM1
NKX3-1,PRDM1
ACTBL2,PRDM1
ANGPTL4,PRDM1
MAPRE2,PRDM1
SLC7A2,PRDM1
PRRG4,PRDM1
NT5E,PRDM1
LRRC8C,PRDM1
LRRC8A,PRDM1
MPZL3,PRDM1
E2F7,PRDM1
SULF2,PRDM1
ALOX5AP,PRDM1
FAS,PRDM1
ATP13A3,PRDM1
ANTXR2,PRDM1
TOMM20,PRDM1
CLDN1,PRDM1
TGM2,PRDM1
MFSD2A,PRDM1
IL4R,PRDM1
EPHA2,PRDM1
HIF1A,PRDM1
MTDH,PRDM1
FZD1,PRDM1
TNFRSF10A,PRDM1
CA2,PRDM1
RASAL2-AS1,PRDM1
B4GALT5,PRDM1
SMAGP,PRDM1
AP1S2,PRDM1
PITX1,PRDM1
CDC25A,PRDM1
GPD2,PRDM1
LUCAT1,PRDM1
RPP25,PRDM1
CDCA2,PRDM1
RTN4,PRDM1
SLC9A3R1,PRDM1
NUAK2,PRDM1
PGK1,PRDM1
HMOX1,PRDM1
SDF2L1,PRDM1
VDR,PRDM1
HSPA6,PRDM1
ELL2,PRDM1
SLC2A1,PRDM1
SLC7A11,PRDM1
TUBA1C,PRDM1
ANXA1,PRDM1
SLC7A5,PRDM1
DTL,PRDM1
SLC3A2,PRDM1
ALOXE3,PRDM1
ADRM1,PRDM1
TMEM154,PRDM1
SERPINE2,PRDM1
ETS2,PRDM1
LIPC,PRDM1
NIPAL1,PRDM1
SLC39A8,PRDM1
S100A2,PRDM1
IL1R1,PRDM1
TAP1,PRDM1
ADAM19,PRDM1
IL6ST,PRDM1
PHLDB2,PRDM1
SLC22A4,PRDM1
SDC4,PRDM1
SOCS1,PRDM1
RDH10,PRDM1
MAP7,PRDM1
NGFR,PRDM1
SLC37A1,PRDM1
FGFR1,PRDM1
CDKN1A,PRDM1
CTSC,PRDM1
NKX3-1,PRDM1
ACTBL2,PRDM1
ANGPTL4,PRDM1
MAPRE2,PRDM1
SLC7A2,PRDM1
PRRG4,PRDM1
NT5E,PRDM1
LRRC8C,PRDM1
LRRC8A,PRDM1
MPZL3,PRDM1
E2F7,PRDM1
SULF2,PRDM1
ALOX5AP,PRDM1
FAS,PRDM1
ATP13A3,PRDM1
ANTXR2,PRDM1
TOMM20,PRDM1
CLDN1,PRDM1
TGM2,PRDM1
MFSD2A,PRDM1
IL4R,PRDM1
EPHA2,PRDM1
HIF1A,PRDM1
MTDH,PRDM1
FZD1,PRDM1
TNFRSF10A,PRDM1
CA2,PRDM1
RASAL2-AS1,PRDM1
B4GALT5,PRDM1
SMAGP,PRDM1
AP1S2,PRDM1
PITX1,PRDM1
CDC25A,PRDM1
GPD2,PRDM1
LUCAT1,PRDM1
RPP25,PRDM1
CDCA2,PRDM1
RTN4,PRDM1
SLC9A3R1,PRDM1
NUAK2,PRDM1
PGK1,PRDM1
HMOX1,PRDM1
SDF2L1,PRDM1
VDR,PRDM1
HSPA6,PRDM1
ELL2,PRDM1
SLC2A1,PRDM1
SLC7A11,PRDM1
TUBA1C,PRDM1
ANXA1,PRDM1
SLC7A5,PRDM1
DTL,PRDM1
SLC3A2,PRDM1
ALOXE3,PRDM1
ADRM1,PRDM1
TMEM154,PRDM1
IFITM3,FOSL2
CSF1,FOSL2
TNC,FOSL2
DDX60L,FOSL2
ALCAM,FOSL2
NAMPT,FOSL2
JUNB,FOSL2
IER3,FOSL2
MID2,FOSL2
S100A6,FOSL2
FOXO1,FOSL2
SOCS3,FOSL2
ATXN1,FOSL2
RNF217,FOSL2
SFN,FOSL2
TIPARP,FOSL2
MAFB,FOSL2
BCL3,FOSL2
BHLHE40,FOSL2
LRP10,FOSL2
CSRNP1,FOSL2
BTG2,FOSL2
BTG1,FOSL2
SLC2A3,FOSL2
CXCL2,FOSL2
IRF2BPL,FOSL2
FAM102A,FOSL2
NFKBIZ,FOSL2
PDE4B,FOSL2
ITGAX,FOSL2
KIF1A,FOSL2
UPP1,FOSL2
DUSP4,FOSL2
TSC22D3,FOSL2
PLAUR,FOSL2
DUSP6,FOSL2
PTP4A1,FOSL2
ELF3,FOSL2
IRF1,FOSL2
CEBPD,FOSL2
RELB,FOSL2
CNNM1,FOSL2
SMOX,FOSL2
LGI3,FOSL2
DHRS3,FOSL2
VEGFA,FOSL2
IRS2,FOSL2
JADE2,FOSL2
HINT3,FOSL2
EDN1,FOSL2
RIPK4,FOSL2
F2R,FOSL2
SERPINB6,FOSL2
LINC00525,FOSL2
NCOA7,FOSL2
TRIB2,FOSL2
DDR2,FOSL2
CEBPB,FOSL2
ST3GAL1,FOSL2
NQO2,FOSL2
JAG1,FOSL2
MYBPH,FOSL2
KLF2,FOSL2
BACH1,FOSL2
IER5,FOSL2
CCDC80,FOSL2
HECA,FOSL2
ATF3,FOSL2
GRB7,FOSL2
CYP27B1,FOSL2
GADD45B,FOSL2
NR1D1,FOSL2
BBC3,FOSL2
TRIM7,FOSL2
GDF15,FOSL2
IGIP,FOSL2
ZNF219,FOSL2
MIDN,FOSL2
ZFP36,FOSL2
RGS2,FOSL2
PIM3,FOSL2
UBALD2,FOSL2
TICAM1,FOSL2
ODF3B,FOSL2
ABHD4,FOSL2
SLC38A2,FOSL2
MCL1,FOSL2
NFKB2,FOSL2
NFKBIA,FOSL2
NR4A2,FOSL2
BCL6,FOSL2
KLF13,FOSL2
ETV4,FOSL2
PARD6B,FOSL2
MAPK6,FOSL2
TBX2,FOSL2
KLF9,FOSL2
MSMO1,FOSL2
METRNL,FOSL2
CAPN15,FOSL2
PPTC7,FOSL2
TM4SF1,FOSL2
GEM,FOSL2
MAPKAPK2,FOSL2
TRIB3,FOSL2
RABL6,FOSL2
SBNO2,FOSL2
DSTN,FOSL2
OSGIN2,FOSL2
SMAD7,FOSL2
RNF182,FOSL2
CPEB4,FOSL2
SH3RF1,FOSL2
ZNF367,FOSL2
HIST1H1C,FOSL2
SUN2,FOSL2
DDAH1,FOSL2
TLR6,FOSL2
IER5L,FOSL2
KLF5,FOSL2
IFITM3,FOSL2
CSF1,FOSL2
TNC,FOSL2
DDX60L,FOSL2
ALCAM,FOSL2
NAMPT,FOSL2
JUNB,FOSL2
IER3,FOSL2
MID2,FOSL2
S100A6,FOSL2
FOXO1,FOSL2
SOCS3,FOSL2
ATXN1,FOSL2
RNF217,FOSL2
SFN,FOSL2
TIPARP,FOSL2
MAFB,FOSL2
BCL3,FOSL2
BHLHE40,FOSL2
LRP10,FOSL2
CSRNP1,FOSL2
BTG2,FOSL2
BTG1,FOSL2
SLC2A3,FOSL2
CXCL2,FOSL2
IRF2BPL,FOSL2
FAM102A,FOSL2
NFKBIZ,FOSL2
PDE4B,FOSL2
ITGAX,FOSL2
KIF1A,FOSL2
UPP1,FOSL2
DUSP4,FOSL2
TSC22D3,FOSL2
PLAUR,FOSL2
DUSP6,FOSL2
PTP4A1,FOSL2
ELF3,FOSL2
IRF1,FOSL2
CEBPD,FOSL2
RELB,FOSL2
CNNM1,FOSL2
SMOX,FOSL2
LGI3,FOSL2
DHRS3,FOSL2
VEGFA,FOSL2
IRS2,FOSL2
JADE2,FOSL2
HINT3,FOSL2
EDN1,FOSL2
RIPK4,FOSL2
F2R,FOSL2
SERPINB6,FOSL2
LINC00525,FOSL2
NCOA7,FOSL2
TRIB2,FOSL2
DDR2,FOSL2
CEBPB,FOSL2
ST3GAL1,FOSL2
NQO2,FOSL2
JAG1,FOSL2
MYBPH,FOSL2
KLF2,FOSL2
BACH1,FOSL2
IER5,FOSL2
CCDC80,FOSL2
HECA,FOSL2
ATF3,FOSL2
GRB7,FOSL2
CYP27B1,FOSL2
GADD45B,FOSL2
NR1D1,FOSL2
BBC3,FOSL2
TRIM7,FOSL2
GDF15,FOSL2
IGIP,FOSL2
ZNF219,FOSL2
MIDN,FOSL2
ZFP36,FOSL2
RGS2,FOSL2
PIM3,FOSL2
UBALD2,FOSL2
TICAM1,FOSL2
ODF3B,FOSL2
ABHD4,FOSL2
SLC38A2,FOSL2
MCL1,FOSL2
NFKB2,FOSL2
NFKBIA,FOSL2
NR4A2,FOSL2
BCL6,FOSL2
KLF13,FOSL2
ETV4,FOSL2
PARD6B,FOSL2
MAPK6,FOSL2
TBX2,FOSL2
KLF9,FOSL2
MSMO1,FOSL2
METRNL,FOSL2
CAPN15,FOSL2
PPTC7,FOSL2
TM4SF1,FOSL2
GEM,FOSL2
MAPKAPK2,FOSL2
TRIB3,FOSL2
RABL6,FOSL2
SBNO2,FOSL2
DSTN,FOSL2
OSGIN2,FOSL2
SMAD7,FOSL2
RNF182,FOSL2
CPEB4,FOSL2
SH3RF1,FOSL2
ZNF367,FOSL2
HIST1H1C,FOSL2
SUN2,FOSL2
DDAH1,FOSL2
TLR6,FOSL2
IER5L,FOSL2
KLF5,FOSL2
BTG2,EHF
MAST4,EHF
TNC,EHF
TNFAIP3,EHF
PTPRK,EHF
CXCL2,EHF
ALCAM,EHF
LIPH,EHF
NFKBIZ,EHF
TNFSF10,EHF
TNS4,EHF
JUNB,EHF
IER3,EHF
DUSP4,EHF
DUSP5,EHF
PLAUR,EHF
SHROOM3,EHF
DUSP6,EHF
OVOL2,EHF
CDCP1,EHF
ELF3,EHF
S100A6,EHF
PPARG,EHF
DSC2,EHF
BIRC3,EHF
CDS1,EHF
RBM47,EHF
IGSF3,EHF
CEBPD,EHF
GPR87,EHF
ABHD17C,EHF
THSD4,EHF
ARNTL2,EHF
SFN,EHF
GBP2,EHF
CD74,EHF
SEMA4B,EHF
PCDH7,EHF
PDZK1IP1,EHF
CP,EHF
DHRS3,EHF
VEGFA,EHF
MAFB,EHF
TSPAN13,EHF
NFIA,EHF
BHLHE40,EHF
PLCH1,EHF
CXCL8,EHF
EDN1,EHF
RIPK4,EHF
DDR2,EHF
N4BP3,EHF
JAG1,EHF
NCEH1,EHF
EPB41L4B,EHF
RGS2,EHF
TRIM7,EHF
TP63,EHF
NCOA3,EHF
TC2N,EHF
ATF3,EHF
GRB7,EHF
ZSWIM4,EHF
GDF15,EHF
MPP7,EHF
FOSL2,EHF
NR4A2,EHF
BCL6,EHF
SCRIB,EHF
TM4SF1,EHF
EREG,EHF
RNF128,EHF
INO80C,EHF
MACC1,EHF
KLF5,EHF
BTG2,EHF
MAST4,EHF
TNC,EHF
TNFAIP3,EHF
PTPRK,EHF
CXCL2,EHF
ALCAM,EHF
LIPH,EHF
NFKBIZ,EHF
TNFSF10,EHF
TNS4,EHF
JUNB,EHF
IER3,EHF
DUSP4,EHF
DUSP5,EHF
PLAUR,EHF
SHROOM3,EHF
DUSP6,EHF
OVOL2,EHF
CDCP1,EHF
ELF3,EHF
S100A6,EHF
PPARG,EHF
DSC2,EHF
BIRC3,EHF
CDS1,EHF
RBM47,EHF
IGSF3,EHF
CEBPD,EHF
GPR87,EHF
ABHD17C,EHF
THSD4,EHF
ARNTL2,EHF
SFN,EHF
GBP2,EHF
CD74,EHF
SEMA4B,EHF
PCDH7,EHF
PDZK1IP1,EHF
CP,EHF
DHRS3,EHF
VEGFA,EHF
MAFB,EHF
TSPAN13,EHF
NFIA,EHF
BHLHE40,EHF
PLCH1,EHF
CXCL8,EHF
EDN1,EHF
RIPK4,EHF
DDR2,EHF
N4BP3,EHF
JAG1,EHF
NCEH1,EHF
EPB41L4B,EHF
RGS2,EHF
TRIM7,EHF
TP63,EHF
NCOA3,EHF
TC2N,EHF
ATF3,EHF
GRB7,EHF
ZSWIM4,EHF
GDF15,EHF
MPP7,EHF
FOSL2,EHF
NR4A2,EHF
BCL6,EHF
SCRIB,EHF
TM4SF1,EHF
EREG,EHF
RNF128,EHF
INO80C,EHF
MACC1,EHF
KLF5,EHF
IFITM3,ETV5
BTG2,ETV5
IFITM1,ETV5
TNC,ETV5
SIPA1L2,ETV5
RCSD1,ETV5
ALCAM,ETV5
KIF1A,ETV5
HMCN1,ETV5
JUNB,ETV5
IER3,ETV5
DUSP4,ETV5
TSC22D3,ETV5
PLAUR,ETV5
HLA-B,ETV5
ETV1,ETV5
ELOVL6,ETV5
DUSP6,ETV5
MTSS1,ETV5
IRF1,ETV5
CDH12,ETV5
S100A6,ETV5
BIRC7,ETV5
TRIB2,ETV5
LEF1,ETV5
SEL1L3,ETV5
SOCS3,ETV5
WDR17,ETV5
BCHE,ETV5
SNAP25-AS1,ETV5
DHRS3,ETV5
VEGFA,ETV5
TSPAN13,ETV5
MAFB,ETV5
NFIA,ETV5
VEPH1,ETV5
BHLHE40,ETV5
BCL2,ETV5
CPE,ETV5
CNIH3,ETV5
TMEM167A,ETV5
TBC1D30,ETV5
DDR2,ETV5
JAG1,ETV5
KLF2,ETV5
HJURP,ETV5
MSI1,ETV5
RGS2,ETV5
ZFP36,ETV5
IER5,ETV5
GAS2L3,ETV5
TC2N,ETV5
ATF3,ETV5
PHF21B,ETV5
GADD45B,ETV5
FAM78A,ETV5
DNAJC12,ETV5
FOSL2,ETV5
BCL6,ETV5
HMGCS1,ETV5
NCOA3,ETV5
DUSP8,ETV5
ETV4,ETV5
LDLR,ETV5
GDF15,ETV5
DEF6,ETV5
KLF9,ETV5
SPRED1,ETV5
HES6,ETV5
SUN2,ETV5
GEM,ETV5
DDAH1,ETV5
MTHFD2,ETV5
TRIB3,ETV5
BCAT1,ETV5
ECT2,ETV5
MYO10,ETV5
CDK1,ETV5
IFITM3,ETV5
BTG2,ETV5
IFITM1,ETV5
TNC,ETV5
SIPA1L2,ETV5
RCSD1,ETV5
ALCAM,ETV5
KIF1A,ETV5
HMCN1,ETV5
JUNB,ETV5
IER3,ETV5
DUSP4,ETV5
TSC22D3,ETV5
PLAUR,ETV5
HLA-B,ETV5
ETV1,ETV5
ELOVL6,ETV5
DUSP6,ETV5
MTSS1,ETV5
IRF1,ETV5
CDH12,ETV5
S100A6,ETV5
BIRC7,ETV5
TRIB2,ETV5
LEF1,ETV5
SEL1L3,ETV5
SOCS3,ETV5
WDR17,ETV5
BCHE,ETV5
SNAP25-AS1,ETV5
DHRS3,ETV5
VEGFA,ETV5
TSPAN13,ETV5
MAFB,ETV5
NFIA,ETV5
VEPH1,ETV5
BHLHE40,ETV5
BCL2,ETV5
CPE,ETV5
CNIH3,ETV5
TMEM167A,ETV5
TBC1D30,ETV5
DDR2,ETV5
JAG1,ETV5
KLF2,ETV5
HJURP,ETV5
MSI1,ETV5
RGS2,ETV5
ZFP36,ETV5
IER5,ETV5
GAS2L3,ETV5
TC2N,ETV5
ATF3,ETV5
PHF21B,ETV5
GADD45B,ETV5
FAM78A,ETV5
DNAJC12,ETV5
FOSL2,ETV5
BCL6,ETV5
HMGCS1,ETV5
NCOA3,ETV5
DUSP8,ETV5
ETV4,ETV5
LDLR,ETV5
GDF15,ETV5
DEF6,ETV5
KLF9,ETV5
SPRED1,ETV5
HES6,ETV5
SUN2,ETV5
GEM,ETV5
DDAH1,ETV5
MTHFD2,ETV5
TRIB3,ETV5
BCAT1,ETV5
ECT2,ETV5
MYO10,ETV5
CDK1,ETV5
EHF,TP63
CBLB,TP63
DDX60L,TP63
ALCAM,TP63
TNFSF10,TP63
TNS4,TP63
JUNB,TP63
IER3,TP63
SLC6A12,TP63
TMEM170B,TP63
TIAM1,TP63
ALPK2,TP63
ALDH7A1,TP63
SKAP2,TP63
CDS1,TP63
IGSF3,TP63
CFH,TP63
APCDD1,TP63
KLK8,TP63
C7,TP63
ZNF827,TP63
SFN,TP63
TNFSF18,TP63
TIPARP,TP63
ANKEF1,TP63
CP,TP63
ACER2,TP63
FAM160A1,TP63
TCN1,TP63
FAT2,TP63
TMCC2,TP63
BTG2,TP63
BTG1,TP63
PTPRK,TP63
RCSD1,TP63
ADAMTSL1,TP63
DNER,TP63
AASS,TP63
DUSP4,TP63
ZHX2,TP63
ELOVL6,TP63
PRSS12,TP63
DUSP6,TP63
MTSS1,TP63
CLDN11,TP63
CDCP1,TP63
PELI1,TP63
PPARG,TP63
NCOA7,TP63
RAPGEF5,TP63
KANK1,TP63
EGFLAM,TP63
ZNF462,TP63
WNT7B,TP63
VEGFA,TP63
COL3A1,TP63
TMEM158,TP63
NFIA,TP63
TRIML2,TP63
CSF1,TP63
RASEF,TP63
TNC,TP63
PLOD2,TP63
AHR,TP63
PRND,TP63
SEMA6B,TP63
TLE1,TP63
MSX2,TP63
MYH15,TP63
F2R,TP63
FRMD4B,TP63
GRIP2,TP63
EMCN,TP63
S100A6,TP63
SCG2,TP63
DSC2,TP63
ABCG1,TP63
ADRB2,TP63
FOXO1,TP63
SOCS3,TP63
ATXN1,TP63
PMAIP1,TP63
ARHGAP26,TP63
SDK1,TP63
GNAL,TP63
BCL3,TP63
BHLHE40,TP63
BCL2,TP63
MCTP1,TP63
MAST4,TP63
IRF2BPL,TP63
BOC,TP63
ETV1,TP63
SSTR5,TP63
ETV6,TP63
PTP4A1,TP63
ELF3,TP63
IRF1,TP63
MMRN2,TP63
PAPPA2,TP63
RBM47,TP63
CEBPD,TP63
LEF1,TP63
ABHD17C,TP63
THBS2,TP63
THSD4,TP63
ERBB4,TP63
LGI3,TP63
PCDH7,TP63
SEMA4B,TP63
PPP2R2C,TP63
TLL1,TP63
IRS2,TP63
JADE2,TP63
PLCXD2,TP63
JAG1,TP63
NCEH1,TP63
CXCL8,TP63
EDN1,TP63
DESI2,TP63
RIPK4,TP63
EN2,TP63
SLCO4A1,TP63
TLR5,TP63
DDR2,TP63
CEBPB,TP63
RASD2,TP63
PDLIM3,TP63
SUSD4,TP63
DHRS2,TP63
CEP170P1,TP63
SPON2,TP63
MIDN,TP63
RGS2,TP63
ZFP36,TP63
LINC00659,TP63
PIM3,TP63
ZNF165,TP63
VPS28,TP63
ATF3,TP63
GRB7,TP63
NPAS1,TP63
NKX6-1,TP63
SLC38A2,TP63
EXPH5,TP63
SMAD9,TP63
FOSL2,TP63
NR4A2,TP63
EFNA3,TP63
BCL6,TP63
ONECUT3,TP63
BBC3,TP63
ANKRD9,TP63
JARID2,TP63
DDX59,TP63
NCOA3,TP63
PDE4D,TP63
GAN,TP63
RAPGEF3,TP63
SATB2,TP63
HDAC9,TP63
LDLR,TP63
GDF15,TP63
TBX2,TP63
PANK3,TP63
GLDC,TP63
BACH1,TP63
FAM110A,TP63
ZXDB,TP63
IER5,TP63
ACSL4,TP63
EREG,TP63
CCDC80,TP63
RNF128,TP63
CPEB3,TP63
CPEB4,TP63
BTG3,TP63
ZCCHC10,TP63
CITED4,TP63
TCF20,TP63
SHB,TP63
CSRP2,TP63
ZNF367,TP63
INCENP,TP63
DCP2,TP63
MIB1,TP63
STK17B,TP63
ZNF697,TP63
RASL11B,TP63
TBL1XR1,TP63
MAPKAPK2,TP63
KLHL15,TP63
DR1,TP63
ZBTB10,TP63
FOXN2,TP63
SMAD7,TP63
CDK1,TP63
RNF182,TP63
ANKRD33B,TP63
NRARP,TP63
BCAT1,TP63
CCDC85C,TP63
MYO10,TP63
WEE1,TP63
KLF5,TP63
EHF,TP63
CBLB,TP63
DDX60L,TP63
ALCAM,TP63
TNFSF10,TP63
TNS4,TP63
JUNB,TP63
IER3,TP63
SLC6A12,TP63
TMEM170B,TP63
TIAM1,TP63
ALPK2,TP63
ALDH7A1,TP63
SKAP2,TP63
CDS1,TP63
IGSF3,TP63
CFH,TP63
APCDD1,TP63
KLK8,TP63
C7,TP63
ZNF827,TP63
SFN,TP63
TNFSF18,TP63
TIPARP,TP63
ANKEF1,TP63
CP,TP63
ACER2,TP63
FAM160A1,TP63
TCN1,TP63
FAT2,TP63
TMCC2,TP63
BTG2,TP63
BTG1,TP63
PTPRK,TP63
RCSD1,TP63
ADAMTSL1,TP63
DNER,TP63
AASS,TP63
DUSP4,TP63
ZHX2,TP63
ELOVL6,TP63
PRSS12,TP63
DUSP6,TP63
MTSS1,TP63
CLDN11,TP63
CDCP1,TP63
PELI1,TP63
PPARG,TP63
NCOA7,TP63
RAPGEF5,TP63
KANK1,TP63
EGFLAM,TP63
ZNF462,TP63
WNT7B,TP63
VEGFA,TP63
COL3A1,TP63
TMEM158,TP63
NFIA,TP63
TRIML2,TP63
CSF1,TP63
RASEF,TP63
TNC,TP63
PLOD2,TP63
AHR,TP63
PRND,TP63
SEMA6B,TP63
TLE1,TP63
MSX2,TP63
MYH15,TP63
F2R,TP63
FRMD4B,TP63
GRIP2,TP63
EMCN,TP63
S100A6,TP63
SCG2,TP63
DSC2,TP63
ABCG1,TP63
ADRB2,TP63
FOXO1,TP63
SOCS3,TP63
ATXN1,TP63
PMAIP1,TP63
ARHGAP26,TP63
SDK1,TP63
