tg,tf
GNAL,TP63
BCL3,TP63
BHLHE40,TP63
BCL2,TP63
MCTP1,TP63
MAST4,TP63
IRF2BPL,TP63
BOC,TP63
ETV1,TP63
SSTR5,TP63
ETV6,TP63
PTP4A1,TP63
ELF3,TP63
IRF1,TP63
MMRN2,TP63
PAPPA2,TP63
RBM47,TP63
CEBPD,TP63
LEF1,TP63
ABHD17C,TP63
THBS2,TP63
THSD4,TP63
ERBB4,TP63
LGI3,TP63
PCDH7,TP63
SEMA4B,TP63
PPP2R2C,TP63
TLL1,TP63
IRS2,TP63
JADE2,TP63
PLCXD2,TP63
JAG1,TP63
NCEH1,TP63
CXCL8,TP63
EDN1,TP63
DESI2,TP63
RIPK4,TP63
EN2,TP63
SLCO4A1,TP63
TLR5,TP63
DDR2,TP63
CEBPB,TP63
RASD2,TP63
PDLIM3,TP63
SUSD4,TP63
DHRS2,TP63
CEP170P1,TP63
SPON2,TP63
MIDN,TP63
RGS2,TP63
ZFP36,TP63
LINC00659,TP63
PIM3,TP63
ZNF165,TP63
VPS28,TP63
ATF3,TP63
GRB7,TP63
NPAS1,TP63
NKX6-1,TP63
SLC38A2,TP63
EXPH5,TP63
SMAD9,TP63
FOSL2,TP63
NR4A2,TP63
EFNA3,TP63
BCL6,TP63
ONECUT3,TP63
BBC3,TP63
ANKRD9,TP63
JARID2,TP63
DDX59,TP63
NCOA3,TP63
PDE4D,TP63
GAN,TP63
RAPGEF3,TP63
SATB2,TP63
HDAC9,TP63
LDLR,TP63
GDF15,TP63
TBX2,TP63
PANK3,TP63
GLDC,TP63
BACH1,TP63
FAM110A,TP63
ZXDB,TP63
IER5,TP63
ACSL4,TP63
EREG,TP63
CCDC80,TP63
RNF128,TP63
CPEB3,TP63
CPEB4,TP63
BTG3,TP63
ZCCHC10,TP63
CITED4,TP63
TCF20,TP63
SHB,TP63
CSRP2,TP63
ZNF367,TP63
INCENP,TP63
DCP2,TP63
MIB1,TP63
STK17B,TP63
ZNF697,TP63
RASL11B,TP63
TBL1XR1,TP63
MAPKAPK2,TP63
KLHL15,TP63
DR1,TP63
ZBTB10,TP63
FOXN2,TP63
SMAD7,TP63
CDK1,TP63
RNF182,TP63
ANKRD33B,TP63
NRARP,TP63
BCAT1,TP63
CCDC85C,TP63
MYO10,TP63
WEE1,TP63
KLF5,TP63
IFITM3,JUNB
EHF,JUNB
IFITM1,JUNB
NAMPT,JUNB
HIST1H2AC,JUNB
MYLIP,JUNB
HLA-B,JUNB
HLA-C,JUNB
S100A6,JUNB
SOCS3,JUNB
RNF217,JUNB
PMAIP1,JUNB
TIPARP,JUNB
GADD45G,JUNB
MAFB,JUNB
BCL3,JUNB
BHLHE40,JUNB
TNFSF9,JUNB
CSRNP1,JUNB
BTG2,JUNB
BTG1,JUNB
TNFAIP3,JUNB
SLC2A3,JUNB
RCSD1,JUNB
CXCL2,JUNB
IRF2BPL,JUNB
ADAMTS4,JUNB
NFKBIZ,JUNB
PDE4B,JUNB
PDE4A,JUNB
UPP1,JUNB
SCARF2,JUNB
DUSP4,JUNB
DUSP5,JUNB
DUSP2,JUNB
TSC22D3,JUNB
PLAUR,JUNB
DUSP6,JUNB
IRF1,JUNB
PELI1,JUNB
NCOA7,JUNB
HBEGF,JUNB
BIRC3,JUNB
PTGER4,JUNB
CEBPD,JUNB
RELB,JUNB
GBP2,JUNB
CD74,JUNB
SEMA4B,JUNB
TTC39C,JUNB
DHRS3,JUNB
VEGFA,JUNB
TMEM156,JUNB
CXCL8,JUNB
IRS2,JUNB
EDN1,JUNB
SERPINB6,JUNB
DDR2,JUNB
CEBPB,JUNB
SKIL,JUNB
NQO2,JUNB
JAG1,JUNB
KLF2,JUNB
HIST3H2A,JUNB
ELK4,JUNB
IER5,JUNB
HECA,JUNB
ATF3,JUNB
GADD45B,JUNB
NR1D1,JUNB
FOSL2,JUNB
EIF1,JUNB
AVL9,JUNB
CDKN1B,JUNB
CITED4,JUNB
BBC3,JUNB
RNF157,JUNB
TRIM7,JUNB
JARID2,JUNB
MIDN,JUNB
ZFP36,JUNB
RGS2,JUNB
SESN2,JUNB
PIM3,JUNB
TICAM1,JUNB
RHOBTB3,JUNB
SLC38A2,JUNB
MCL1,JUNB
NFKB2,JUNB
NFKBIA,JUNB
NR4A2,JUNB
BCL6,JUNB
KLF13,JUNB
DUSP22,JUNB
KLF9,JUNB
METRNL,JUNB
GEM,JUNB
MAPKAPK2,JUNB
RABL6,JUNB
SBNO2,JUNB
H1FX,JUNB
SIAH2,JUNB
DSTN,JUNB
SMAD7,JUNB
NFKBIE,JUNB
BTG3,JUNB
SHB,JUNB
CSRP2,JUNB
BCL7B,JUNB
HIST1H1C,JUNB
SUN2,JUNB
BCAT1,JUNB
IER5L,JUNB
MACC1,JUNB
IFITM3,JUNB
EHF,JUNB
IFITM1,JUNB
NAMPT,JUNB
HIST1H2AC,JUNB
MYLIP,JUNB
HLA-B,JUNB
HLA-C,JUNB
S100A6,JUNB
SOCS3,JUNB
RNF217,JUNB
PMAIP1,JUNB
TIPARP,JUNB
GADD45G,JUNB
MAFB,JUNB
BCL3,JUNB
BHLHE40,JUNB
TNFSF9,JUNB
CSRNP1,JUNB
BTG2,JUNB
BTG1,JUNB
TNFAIP3,JUNB
SLC2A3,JUNB
RCSD1,JUNB
CXCL2,JUNB
IRF2BPL,JUNB
ADAMTS4,JUNB
NFKBIZ,JUNB
PDE4B,JUNB
PDE4A,JUNB
UPP1,JUNB
SCARF2,JUNB
DUSP4,JUNB
DUSP5,JUNB
DUSP2,JUNB
TSC22D3,JUNB
PLAUR,JUNB
DUSP6,JUNB
IRF1,JUNB
PELI1,JUNB
NCOA7,JUNB
HBEGF,JUNB
BIRC3,JUNB
PTGER4,JUNB
CEBPD,JUNB
RELB,JUNB
GBP2,JUNB
CD74,JUNB
SEMA4B,JUNB
TTC39C,JUNB
DHRS3,JUNB
VEGFA,JUNB
TMEM156,JUNB
CXCL8,JUNB
IRS2,JUNB
EDN1,JUNB
SERPINB6,JUNB
DDR2,JUNB
CEBPB,JUNB
SKIL,JUNB
NQO2,JUNB
JAG1,JUNB
KLF2,JUNB
HIST3H2A,JUNB
ELK4,JUNB
IER5,JUNB
HECA,JUNB
ATF3,JUNB
GADD45B,JUNB
NR1D1,JUNB
FOSL2,JUNB
EIF1,JUNB
AVL9,JUNB
CDKN1B,JUNB
CITED4,JUNB
BBC3,JUNB
RNF157,JUNB
TRIM7,JUNB
JARID2,JUNB
MIDN,JUNB
ZFP36,JUNB
RGS2,JUNB
SESN2,JUNB
PIM3,JUNB
TICAM1,JUNB
RHOBTB3,JUNB
SLC38A2,JUNB
MCL1,JUNB
NFKB2,JUNB
NFKBIA,JUNB
NR4A2,JUNB
BCL6,JUNB
KLF13,JUNB
DUSP22,JUNB
KLF9,JUNB
METRNL,JUNB
GEM,JUNB
MAPKAPK2,JUNB
RABL6,JUNB
SBNO2,JUNB
H1FX,JUNB
SIAH2,JUNB
DSTN,JUNB
SMAD7,JUNB
NFKBIE,JUNB
BTG3,JUNB
SHB,JUNB
CSRP2,JUNB
BCL7B,JUNB
HIST1H1C,JUNB
SUN2,JUNB
BCAT1,JUNB
IER5L,JUNB
MACC1,JUNB
IFITM3,AHR
IFITM1,AHR
EHF,AHR
CSF1,AHR
TNC,AHR
DDX60L,AHR
ALCAM,AHR
DEPTOR,AHR
TNFSF10,AHR
HMCN1,AHR
JUNB,AHR
IER3,AHR
MSX2,AHR
F2R,AHR
UHMK1,AHR
S100A6,AHR
CFH,AHR
IGSF3,AHR
SLC1A2,AHR
SOCS3,AHR
PMAIP1,AHR
TIPARP,AHR
LYZ,AHR
PARP14,AHR
MAFB,AHR
BCL3,AHR
BHLHE40,AHR
CYP1A1,AHR
BCL2,AHR
FAT2,AHR
CCNJL,AHR
CSRNP1,AHR
BTG2,AHR
BTG1,AHR
SLC2A3,AHR
SIPA1L2,AHR
IRF2BPL,AHR
FAM102A,AHR
NFKBIZ,AHR
EMILIN2,AHR
DUSP4,AHR
ZHX2,AHR
TSC22D3,AHR
PLAUR,AHR
DUSP6,AHR
RAP2C,AHR
ELF3,AHR
IRF1,AHR
CDH12,AHR
BIRC7,AHR
KANK1,AHR
ABHD17C,AHR
DLL1,AHR
APOL6,AHR
IFI16,AHR
GBP2,AHR
MID1IP1,AHR
DHRS3,AHR
VEGFA,AHR
PDP1,AHR
COL3A1,AHR
TSPAN13,AHR
TMEM229B,AHR
JAG1,AHR
EDN1,AHR
RIPK4,AHR
SLCO4A1,AHR
DDR2,AHR
FSTL1,AHR
DHRS2,AHR
KLF2,AHR
BACH1,AHR
ELK4,AHR
LURAP1L,AHR
DICER1,AHR
HECA,AHR
ATF3,AHR
GADD45B,AHR
FOSL2,AHR
TRIM7,AHR
JARID2,AHR
DUSP1,AHR
NCOA3,AHR
RAPGEF3,AHR
WDR26,AHR
GDF15,AHR
PTAR1,AHR
RGS2,AHR
ZFP36,AHR
RAB2B,AHR
GAS2L3,AHR
PHOSPHO1,AHR
FRMD5,AHR
ABHD4,AHR
ARHGAP19,AHR
SLC38A2,AHR
MCL1,AHR
JMY,AHR
RNF182,AHR
DYRK2,AHR
KLF13,AHR
KDM7A,AHR
ADD3,AHR
PARD6B,AHR
TBX2,AHR
PIKFYVE,AHR
KLF9,AHR
PPTC7,AHR
TM4SF1,AHR
GEM,AHR
MAPKAPK2,AHR
RABL6,AHR
DSTN,AHR
CPEB4,AHR
CCDC85C,AHR
KLF5,AHR
TRIP12,AHR
IFITM3,AHR
IFITM1,AHR
EHF,AHR
CSF1,AHR
TNC,AHR
DDX60L,AHR
ALCAM,AHR
DEPTOR,AHR
TNFSF10,AHR
HMCN1,AHR
JUNB,AHR
IER3,AHR
MSX2,AHR
F2R,AHR
UHMK1,AHR
S100A6,AHR
CFH,AHR
IGSF3,AHR
SLC1A2,AHR
SOCS3,AHR
PMAIP1,AHR
TIPARP,AHR
LYZ,AHR
PARP14,AHR
MAFB,AHR
BCL3,AHR
BHLHE40,AHR
CYP1A1,AHR
BCL2,AHR
FAT2,AHR
CCNJL,AHR
CSRNP1,AHR
BTG2,AHR
BTG1,AHR
SLC2A3,AHR
SIPA1L2,AHR
IRF2BPL,AHR
FAM102A,AHR
NFKBIZ,AHR
EMILIN2,AHR
DUSP4,AHR
ZHX2,AHR
TSC22D3,AHR
PLAUR,AHR
DUSP6,AHR
RAP2C,AHR
ELF3,AHR
IRF1,AHR
CDH12,AHR
BIRC7,AHR
KANK1,AHR
ABHD17C,AHR
DLL1,AHR
APOL6,AHR
IFI16,AHR
GBP2,AHR
MID1IP1,AHR
DHRS3,AHR
VEGFA,AHR
PDP1,AHR
COL3A1,AHR
TSPAN13,AHR
TMEM229B,AHR
JAG1,AHR
EDN1,AHR
RIPK4,AHR
SLCO4A1,AHR
DDR2,AHR
FSTL1,AHR
DHRS2,AHR
KLF2,AHR
BACH1,AHR
ELK4,AHR
LURAP1L,AHR
DICER1,AHR
HECA,AHR
ATF3,AHR
GADD45B,AHR
FOSL2,AHR
TRIM7,AHR
JARID2,AHR
DUSP1,AHR
NCOA3,AHR
RAPGEF3,AHR
WDR26,AHR
GDF15,AHR
PTAR1,AHR
RGS2,AHR
ZFP36,AHR
RAB2B,AHR
GAS2L3,AHR
PHOSPHO1,AHR
FRMD5,AHR
ABHD4,AHR
ARHGAP19,AHR
SLC38A2,AHR
MCL1,AHR
JMY,AHR
RNF182,AHR
DYRK2,AHR
KLF13,AHR
KDM7A,AHR
ADD3,AHR
PARD6B,AHR
TBX2,AHR
PIKFYVE,AHR
KLF9,AHR
PPTC7,AHR
TM4SF1,AHR
GEM,AHR
MAPKAPK2,AHR
RABL6,AHR
DSTN,AHR
CPEB4,AHR
CCDC85C,AHR
KLF5,AHR
TRIP12,AHR
IFITM3,CEBPB
EHF,CEBPB
IFITM1,CEBPB
NCF2,CEBPB
TNC,CEBPB
DDX60L,CEBPB
PLOD2,CEBPB
LIPH,CEBPB
NAMPT,CEBPB
C3AR1,CEBPB
TNS4,CEBPB
JUNB,CEBPB
PRND,CEBPB
IER3,CEBPB
MAP3K5,CEBPB
HLA-B,CEBPB
HLA-C,CEBPB
GRIP2,CEBPB
OVOL2,CEBPB
S100A6,CEBPB
ROR1,CEBPB
TRIB2,CEBPB
ABCG1,CEBPB
NDRG4,CEBPB
SLC1A2,CEBPB
ADRB2,CEBPB
FOXO1,CEBPB
SOCS3,CEBPB
ATXN1,CEBPB
PMAIP1,CEBPB
SLC19A2,CEBPB
TIPARP,CEBPB
ARHGAP26,CEBPB
GADD45G,CEBPB
MAFB,CEBPB
TCN1,CEBPB
BCL3,CEBPB
BHLHE40,CEBPB
CPE,CEBPB
LRP10,CEBPB
CSRNP1,CEBPB
BTG2,CEBPB
BTG1,CEBPB
SLC2A3,CEBPB
CXCL2,CEBPB
IRF2BPL,CEBPB
CALB2,CEBPB
GLIPR1,CEBPB
FAM102A,CEBPB
CASP4,CEBPB
NFKBIZ,CEBPB
ITGAX,CEBPB
CASP1,CEBPB
QSOX1,CEBPB
TSC22D3,CEBPB
PLAUR,CEBPB
DUSP6,CEBPB
PTP4A1,CEBPB
IRF1,CEBPB
PELI1,CEBPB
NCOA7,CEBPB
RBM47,CEBPB
APOL6,CEBPB
STAMBPL1,CEBPB
GBP2,CEBPB
SMOX,CEBPB
SEMA4B,CEBPB
SNX22,CEBPB
DHRS3,CEBPB
PSMB9,CEBPB
VEGFA,CEBPB
VEPH1,CEBPB
IL18R1,CEBPB
TMEM229B,CEBPB
CREB3L3,CEBPB
MTHFD2L,CEBPB
ST3GAL1,CEBPB
JAG1,CEBPB
CXCL8,CEBPB
HINT3,CEBPB
PTGIS,CEBPB
SERPINB6,CEBPB
DDR2,CEBPB
FSTL1,CEBPB
NQO2,CEBPB
DHRS2,CEBPB
KLF2,CEBPB
SPON2,CEBPB
HIVEP2,CEBPB
FAM160A1,CEBPB
BBC3,CEBPB
GDF15,CEBPB
RGS2,CEBPB
UBALD2,CEBPB
ODF3B,CEBPB
LONRF3,CEBPB
CAMK2D,CEBPB
KLF9,CEBPB
HMGCS1,CEBPB
IFITM3,CEBPB
EHF,CEBPB
IFITM1,CEBPB
NCF2,CEBPB
TNC,CEBPB
DDX60L,CEBPB
PLOD2,CEBPB
LIPH,CEBPB
NAMPT,CEBPB
C3AR1,CEBPB
TNS4,CEBPB
JUNB,CEBPB
PRND,CEBPB
IER3,CEBPB
MAP3K5,CEBPB
HLA-B,CEBPB
HLA-C,CEBPB
GRIP2,CEBPB
OVOL2,CEBPB
S100A6,CEBPB
ROR1,CEBPB
TRIB2,CEBPB
ABCG1,CEBPB
NDRG4,CEBPB
SLC1A2,CEBPB
ADRB2,CEBPB
FOXO1,CEBPB
SOCS3,CEBPB
ATXN1,CEBPB
PMAIP1,CEBPB
SLC19A2,CEBPB
TIPARP,CEBPB
ARHGAP26,CEBPB
GADD45G,CEBPB
MAFB,CEBPB
TCN1,CEBPB
BCL3,CEBPB
BHLHE40,CEBPB
CPE,CEBPB
LRP10,CEBPB
CSRNP1,CEBPB
BTG2,CEBPB
BTG1,CEBPB
SLC2A3,CEBPB
CXCL2,CEBPB
IRF2BPL,CEBPB
CALB2,CEBPB
GLIPR1,CEBPB
FAM102A,CEBPB
CASP4,CEBPB
NFKBIZ,CEBPB
ITGAX,CEBPB
CASP1,CEBPB
QSOX1,CEBPB
TSC22D3,CEBPB
PLAUR,CEBPB
DUSP6,CEBPB
PTP4A1,CEBPB
IRF1,CEBPB
PELI1,CEBPB
NCOA7,CEBPB
RBM47,CEBPB
APOL6,CEBPB
STAMBPL1,CEBPB
GBP2,CEBPB
SMOX,CEBPB
SEMA4B,CEBPB
SNX22,CEBPB
DHRS3,CEBPB
PSMB9,CEBPB
VEGFA,CEBPB
VEPH1,CEBPB
IL18R1,CEBPB
TMEM229B,CEBPB
CREB3L3,CEBPB
MTHFD2L,CEBPB
ST3GAL1,CEBPB
JAG1,CEBPB
CXCL8,CEBPB
HINT3,CEBPB
PTGIS,CEBPB
SERPINB6,CEBPB
DDR2,CEBPB
FSTL1,CEBPB
NQO2,CEBPB
DHRS2,CEBPB
KLF2,CEBPB
SPON2,CEBPB
HIVEP2,CEBPB
FAM160A1,CEBPB
BBC3,CEBPB
GDF15,CEBPB
RGS2,CEBPB
UBALD2,CEBPB
ODF3B,CEBPB
LONRF3,CEBPB
CAMK2D,CEBPB
KLF9,CEBPB
HMGCS1,CEBPB
IFIT3,FOS
TMEM59L,FOS
LGALS3BP,FOS
SERPINA3,FOS
DMKN,FOS
SNCG,FOS
GPR17,FOS
CKB,FOS
NDRG1,FOS
FHIT,FOS
NR4A1,FOS
PPP1R13L,FOS
LAMA5,FOS
IFIT3,FOS
TMEM59L,FOS
LGALS3BP,FOS
SERPINA3,FOS
DMKN,FOS
SNCG,FOS
GPR17,FOS
CKB,FOS
NDRG1,FOS
FHIT,FOS
NR4A1,FOS
PPP1R13L,FOS
LAMA5,FOS
CCDC28B,NR1H3
GLDN,NR1H3
DUOXA1,NR1H3
DLEC1,NR1H3
RFX5,NR1H3
NRN1,NR1H3
SP7,NR1H3
COL9A2,NR1H3
PIK3CD,NR1H3
EFHD1,NR1H3
NDEL1,NR1H3
WIPI1,NR1H3
DDB2,NR1H3
RCN3,NR1H3
MMP14,NR1H3
PLIN1,NR1H3
NAPB,NR1H3
PNCK,NR1H3
PKD1L2,NR1H3
CDRT4,NR1H3
TBX6,NR1H3
FAM167B,NR1H3
FMNL1,NR1H3
YPEL3,NR1H3
CCDC28B,NR1H3
GLDN,NR1H3
DUOXA1,NR1H3
DLEC1,NR1H3
RFX5,NR1H3
NRN1,NR1H3
SP7,NR1H3
COL9A2,NR1H3
PIK3CD,NR1H3
EFHD1,NR1H3
NDEL1,NR1H3
WIPI1,NR1H3
DDB2,NR1H3
RCN3,NR1H3
MMP14,NR1H3
PLIN1,NR1H3
NAPB,NR1H3
PNCK,NR1H3
PKD1L2,NR1H3
CDRT4,NR1H3
TBX6,NR1H3
FAM167B,NR1H3
FMNL1,NR1H3
YPEL3,NR1H3
IFITM3,MAFB
IFITM1,MAFB
NAMPT,MAFB
TNFSF10,MAFB
JUNB,MAFB
SEMA6B,MAFB
FRMD4B,MAFB
S100A6,MAFB
GPR87,MAFB
ADRB2,MAFB
APCDD1,MAFB
KLK8,MAFB
SOCS3,MAFB
PMAIP1,MAFB
SFN,MAFB
TIPARP,MAFB
CP,MAFB
SDK1,MAFB
BCL3,MAFB
BHLHE40,MAFB
BTG2,MAFB
BTG1,MAFB
TNFAIP3,MAFB
CXCL2,MAFB
IRF2BPL,MAFB
NFKBIZ,MAFB
ITGAX,MAFB
DUSP5,MAFB
TSC22D3,MAFB
SPHK1,MAFB
PLAUR,MAFB
DUSP6,MAFB
MTSS1,MAFB
IRF1,MAFB
HBEGF,MAFB
CEBPD,MAFB
DLL1,MAFB
CNNM1,MAFB
WNT7B,MAFB
SEMA4B,MAFB
TTC39C,MAFB
FBXL14,MAFB
DHRS3,MAFB
VEGFA,MAFB
SNAP25,MAFB
IRS2,MAFB
SERPINB6,MAFB
DDR2,MAFB
CEBPB,MAFB
FSTL1,MAFB
NQO2,MAFB
KLF2,MAFB
MIDN,MAFB
MSMO1,MAFB
ZFP36,MAFB
RGS2,MAFB
LURAP1L,MAFB
SESN3,MAFB
SESN2,MAFB
IER5,MAFB
TP63,MAFB
YOD1,MAFB
TICAM1,MAFB
ZC3H11A,MAFB
HECA,MAFB
ATF3,MAFB
IRAK2,MAFB
LONRF1,MAFB
EXPH5,MAFB
MCL1,MAFB
GADD45B,MAFB
NR1D2,MAFB
NR1D1,MAFB
EIF1,MAFB
FOSL2,MAFB
NR4A2,MAFB
NFKBIA,MAFB
EFNA3,MAFB
BCL6,MAFB
CDKN1B,MAFB
SH3BGRL2,MAFB
JARID2,MAFB
DUSP1,MAFB
NCOA3,MAFB
COQ10B,MAFB
RAP2B,MAFB
SLC7A7,MAFB
GAN,MAFB
WDR26,MAFB
PELI2,MAFB
FGD6,MAFB
DCAF11,MAFB
LDLR,MAFB
GDF15,MAFB
WEE1,MAFB
KLF9,MAFB
PLEKHB2,MAFB
METRNL,MAFB
FAM110A,MAFB
PPP1CB,MAFB
TM4SF1,MAFB
GEM,MAFB
GOT1,MAFB
SIAH2,MAFB
DSTN,MAFB
FOXN2,MAFB
SMAD7,MAFB
RGL1,MAFB
NFKBIE,MAFB
CPEB4,MAFB
BCL7B,MAFB
DNAJB4,MAFB
KLF5,MAFB
IFITM3,MAFB
IFITM1,MAFB
NAMPT,MAFB
TNFSF10,MAFB
JUNB,MAFB
SEMA6B,MAFB
FRMD4B,MAFB
S100A6,MAFB
GPR87,MAFB
ADRB2,MAFB
APCDD1,MAFB
KLK8,MAFB
SOCS3,MAFB
PMAIP1,MAFB
SFN,MAFB
TIPARP,MAFB
CP,MAFB
SDK1,MAFB
BCL3,MAFB
BHLHE40,MAFB
BTG2,MAFB
BTG1,MAFB
TNFAIP3,MAFB
CXCL2,MAFB
IRF2BPL,MAFB
NFKBIZ,MAFB
ITGAX,MAFB
DUSP5,MAFB
TSC22D3,MAFB
SPHK1,MAFB
PLAUR,MAFB
DUSP6,MAFB
MTSS1,MAFB
IRF1,MAFB
HBEGF,MAFB
CEBPD,MAFB
DLL1,MAFB
CNNM1,MAFB
WNT7B,MAFB
SEMA4B,MAFB
TTC39C,MAFB
FBXL14,MAFB
DHRS3,MAFB
VEGFA,MAFB
SNAP25,MAFB
IRS2,MAFB
SERPINB6,MAFB
DDR2,MAFB
CEBPB,MAFB
FSTL1,MAFB
NQO2,MAFB
KLF2,MAFB
MIDN,MAFB
MSMO1,MAFB
ZFP36,MAFB
RGS2,MAFB
LURAP1L,MAFB
SESN3,MAFB
SESN2,MAFB
IER5,MAFB
TP63,MAFB
YOD1,MAFB
TICAM1,MAFB
ZC3H11A,MAFB
HECA,MAFB
ATF3,MAFB
IRAK2,MAFB
LONRF1,MAFB
EXPH5,MAFB
MCL1,MAFB
GADD45B,MAFB
NR1D2,MAFB
NR1D1,MAFB
EIF1,MAFB
FOSL2,MAFB
NR4A2,MAFB
NFKBIA,MAFB
EFNA3,MAFB
BCL6,MAFB
CDKN1B,MAFB
SH3BGRL2,MAFB
JARID2,MAFB
DUSP1,MAFB
NCOA3,MAFB
COQ10B,MAFB
RAP2B,MAFB
SLC7A7,MAFB
GAN,MAFB
WDR26,MAFB
PELI2,MAFB
FGD6,MAFB
DCAF11,MAFB
LDLR,MAFB
GDF15,MAFB
WEE1,MAFB
KLF9,MAFB
PLEKHB2,MAFB
METRNL,MAFB
FAM110A,MAFB
PPP1CB,MAFB
TM4SF1,MAFB
GEM,MAFB
GOT1,MAFB
SIAH2,MAFB
DSTN,MAFB
FOXN2,MAFB
SMAD7,MAFB
RGL1,MAFB
NFKBIE,MAFB
CPEB4,MAFB
BCL7B,MAFB
DNAJB4,MAFB
KLF5,MAFB
IFITM3,KLF5
EHF,KLF5
TNC,KLF5
AHR,KLF5
ALCAM,KLF5
TNS4,KLF5
JUNB,KLF5
IER3,KLF5
OVOL2,KLF5
S100A6,KLF5
DSC2,KLF5
CDS1,KLF5
IGSF3,KLF5
GPR87,KLF5
KLK8,KLF5
FOXO1,KLF5
SOCS3,KLF5
PMAIP1,KLF5
SFN,KLF5
TIPARP,KLF5
MAFB,KLF5
BCL3,KLF5
BHLHE40,KLF5
BTG2,KLF5
BTG1,KLF5
TNFAIP3,KLF5
SLC2A3,KLF5
PTPRK,KLF5
IRF2BPL,KLF5
FAM102A,KLF5
NFKBIZ,KLF5
PDE4A,KLF5
UPP1,KLF5
DUSP4,KLF5
DUSP5,KLF5
PLAUR,KLF5
SHROOM3,KLF5
DUSP6,KLF5
SSTR5,KLF5
CDCP1,KLF5
ELF3,KLF5
IRF1,KLF5
HKDC1,KLF5
PPARG,KLF5
BIRC3,KLF5
HBEGF,KLF5
KANK1,KLF5
RBM47,KLF5
CEBPD,KLF5
ABHD17C,KLF5
NAA10,KLF5
WNT7B,KLF5
SEMA4B,KLF5
VEGFA,KLF5
IRS2,KLF5
JADE2,KLF5
CDH5,KLF5
BBX,KLF5
HMCN1,KLF5
SEMA6B,KLF5
MSX2,KLF5
TMEM170B,KLF5
FAR2,KLF5
GNE,KLF5
ADRB2,KLF5
SKIL,KLF5
JAG1,KLF5
UST,KLF5
UBE2U,KLF5
MCTP1,KLF5
SYNE1,KLF5
EDN1,KLF5
RIPK4,KLF5
SERPINB6,KLF5
SLCO4A1,KLF5
DDR2,KLF5
CEBPB,KLF5
EGFLAM,KLF5
NQO2,KLF5
TPBG,KLF5
KLF2,KLF5
PDP1,KLF5
VEPH1,KLF5
LINC00659,KLF5
TP63,KLF5
VPS28,KLF5
ATF3,KLF5
GRB7,KLF5
EXPH5,KLF5
GADD45B,KLF5
NR1D1,KLF5
FOSL2,KLF5
BBC3,KLF5
TRIM7,KLF5
JARID2,KLF5
MIDN,KLF5
ZFP36,KLF5
RGS2,KLF5
PIM3,KLF5
MUC3A,KLF5
ODF3B,KLF5
FUT1,KLF5
MCL1,KLF5
NR4A2,KLF5
NFKBIA,KLF5
EFNA3,KLF5
BCL6,KLF5
KDM5B,KLF5
SIX4,KLF5
DCAF11,KLF5
KLF9,KLF5
METRNL,KLF5
CAPN15,KLF5
FAM110A,KLF5
IER5,KLF5
SCRIB,KLF5
UBALD2,KLF5
TM4SF1,KLF5
GEM,KLF5
SAP30,KLF5
TRIB3,KLF5
PCDH18,KLF5
FUT4,KLF5
ECT2,KLF5
SIAH2,KLF5
DSTN,KLF5
OSGIN2,KLF5
FOXN2,KLF5
SMAD7,KLF5
SP4,KLF5
CDK1,KLF5
NFKBIE,KLF5
CPEB4,KLF5
NRARP,KLF5
NCS1,KLF5
ZNF367,KLF5
HIST1H1C,KLF5
CCNA2,KLF5
DDAH1,KLF5
DCP2,KLF5
IER5L,KLF5
ZNF628,KLF5
MIB1,KLF5
TRIM36,KLF5
IFITM3,KLF5
EHF,KLF5
TNC,KLF5
AHR,KLF5
ALCAM,KLF5
TNS4,KLF5
JUNB,KLF5
IER3,KLF5
OVOL2,KLF5
S100A6,KLF5
DSC2,KLF5
CDS1,KLF5
IGSF3,KLF5
GPR87,KLF5
KLK8,KLF5
FOXO1,KLF5
SOCS3,KLF5
PMAIP1,KLF5
SFN,KLF5
TIPARP,KLF5
MAFB,KLF5
BCL3,KLF5
BHLHE40,KLF5
BTG2,KLF5
BTG1,KLF5
TNFAIP3,KLF5
SLC2A3,KLF5
